Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,84.089996,85.050003,83.400002,84.930000,83.323059,4827300
2021-01-04,85.199997,85.279999,82.070000,82.169998,80.615288,5311500
2021-01-05,82.169998,82.870003,82.129997,82.290001,80.733017,4932600
2021-01-06,82.260002,82.970001,81.730003,82.430000,80.870369,6520100
2021-01-07,82.500000,82.540001,81.750000,82.269997,80.713394,4068400
2021-01-08,82.529999,83.360001,82.389999,83.070000,81.498260,4931600
2021-01-11,82.529999,83.019997,81.680000,81.970001,80.419075,6565100
2021-01-12,81.860001,82.230003,81.230003,82.160004,80.605484,7857300
2021-01-13,82.220001,83.330002,82.209999,83.160004,81.586555,9024900
2021-01-14,83.440002,84.220001,83.129997,83.650002,82.067276,5866400
2021-01-15,83.459999,84.870003,83.180000,84.610001,83.009125,3939700
2021-01-19,85.139999,85.180000,83.989998,84.370003,82.773666,5521200
2021-01-20,84.440002,86.370003,84.129997,85.980003,84.353203,5198300
2021-01-21,85.730003,85.739998,84.830002,85.570000,83.950958,4213200
2021-01-22,85.129997,85.910004,84.919998,85.769997,84.147171,5272700
2021-01-25,85.739998,87.080002,85.260002,86.419998,84.784874,7819700
2021-01-26,86.610001,87.309998,86.459999,87.029999,85.383324,4706300
2021-01-27,86.379997,87.180000,85.070000,85.489998,83.872467,5907600
2021-01-28,85.510002,86.910004,85.230003,85.949997,84.323761,6237000
2021-01-29,85.470001,86.330002,84.510002,84.959999,83.352501,7349800
2021-02-01,85.480003,86.959999,84.419998,86.900002,85.255791,6149000
2021-02-02,87.459999,87.739998,86.680000,87.419998,85.765945,3849800
2021-02-03,87.470001,87.480003,86.000000,87.199997,85.550110,5148700
2021-02-04,87.220001,88.290001,87.099998,87.800003,86.138763,4118200
2021-02-05,88.169998,88.279999,87.809998,88.110001,86.442894,2583900
2021-02-08,88.430000,88.589996,87.790001,88.589996,86.913803,3212700
2021-02-09,88.750000,89.129997,88.389999,88.900002,87.217949,2518800
2021-02-10,89.360001,90.099998,88.989998,89.379997,87.688858,3421400
2021-02-11,89.540001,90.089996,89.050003,89.570000,87.875275,3717000
2021-02-12,89.339996,89.680000,88.910004,89.589996,87.894890,2297400
2021-02-16,89.919998,89.970001,88.410004,88.900002,87.217949,2774500
2021-02-17,88.699997,88.930000,88.250000,88.790001,87.110031,2939000
2021-02-18,88.470001,88.790001,88.260002,88.410004,86.737228,3254600
2021-02-19,88.730003,89.449997,88.489998,88.919998,87.237572,4170700
