Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,0.026944,0.027001,0.026168,0.026833,0.026833,861613319
2021-01-01,0.026831,0.027332,0.026577,0.026940,0.026940,740550356
2021-01-02,0.026934,0.027916,0.026614,0.027219,0.027219,980910324
2021-01-03,0.027226,0.030023,0.026606,0.029495,0.029495,1496675629
2021-01-04,0.029526,0.032174,0.027266,0.030853,0.030853,1768802420
2021-01-05,0.030840,0.030896,0.027245,0.028632,0.028632,1715256508
2021-01-06,0.028638,0.030939,0.028026,0.030515,0.030515,1636410063
2021-01-07,0.030528,0.033330,0.030167,0.031068,0.031068,2184194025
2021-01-08,0.031080,0.031272,0.028937,0.030613,0.030613,1816169856
2021-01-09,0.030608,0.035618,0.029701,0.034026,0.034026,1942464523
2021-01-10,0.034033,0.036706,0.031462,0.032935,0.032935,2238339640
2021-01-11,0.032925,0.032925,0.027109,0.028963,0.028963,1859950567
2021-01-12,0.028956,0.030309,0.028025,0.028558,0.028558,1940236521
2021-01-13,0.028553,0.030196,0.027833,0.030196,0.030196,1188664735
2021-01-14,0.030198,0.030933,0.029385,0.030010,0.030010,1226382496
2021-01-15,0.030029,0.031277,0.028618,0.029790,0.029790,1414993857
2021-01-16,0.029782,0.031046,0.029528,0.030153,0.030153,1279285483
2021-01-17,0.030144,0.030583,0.029257,0.030141,0.030141,1011001496
2021-01-18,0.030150,0.032141,0.029745,0.031618,0.031618,1114043435
2021-01-19,0.031620,0.032196,0.030754,0.030792,0.030792,1107368899
2021-01-20,0.030771,0.031137,0.029244,0.030507,0.030507,1172430542
2021-01-21,0.030511,0.030531,0.027704,0.027704,0.027704,1322491373
2021-01-22,0.027694,0.028944,0.026436,0.028638,0.028638,1501863627
2021-01-23,0.028623,0.029438,0.028161,0.029187,0.029187,911280721
2021-01-24,0.029194,0.030637,0.029042,0.030020,0.030020,1013208322
2021-01-25,0.030016,0.032402,0.029536,0.029558,0.029558,1443220944
2021-01-26,0.029551,0.029940,0.028611,0.029513,0.029513,899192285
2021-01-27,0.029512,0.029517,0.027609,0.028325,0.028325,1150116667
2021-01-28,0.028322,0.029124,0.028062,0.028999,0.028999,1065775730
2021-01-29,0.030029,0.042852,0.029380,0.033296,0.033296,4817781094
2021-01-30,0.033315,0.033450,0.030786,0.032028,0.032028,1966189340
2021-01-31,0.032036,0.034531,0.031031,0.031603,0.031603,1825939148
2021-02-01,0.031593,0.034687,0.031274,0.032927,0.032927,1907823432
2021-02-02,0.032930,0.033431,0.032355,0.033153,0.033153,1453404854
2021-02-03,0.033157,0.035118,0.033157,0.034439,0.034439,1315556227
2021-02-04,0.034440,0.034594,0.032348,0.033174,0.033174,1585497411
2021-02-05,0.033168,0.036416,0.033107,0.036256,0.036256,1696796527
2021-02-06,0.036244,0.036263,0.033694,0.035106,0.035106,1882492650
2021-02-07,0.035105,0.037152,0.034166,0.035972,0.035972,1871100821
2021-02-08,0.035958,0.041667,0.035317,0.040546,0.040546,2844000480
2021-02-09,0.040529,0.049557,0.040397,0.046034,0.046034,4192383244
